"","game_id","season","week","home_team","away_team","roof","surface","is_playoffs","score_dif","num_drives_per_side","home_off","home_def","home_kickoff_rec","home_kickoff_kick","home_punt_kick","home_punt_rec","home_FG_XP_kick","home_FG_XP_def","total","dif","same"
"1","2011_01_ATL_CHI",2011,1,"CHI","ATL","outdoors","grass",FALSE,18,18.5,0.0386758973549664,0.841165574894895,-0.0741043418545175,0.0702701628938116,0.121869971994562,-0.0120188882196876,0.0653066351695133,-0.0781920392605702,0.972972972972973,0,TRUE
"2","2011_01_BUF_KC",2011,1,"KC","BUF","outdoors","grass",FALSE,-34,21,-0.622254395294468,-0.53797319745076,-0.243095491707902,0.00277245413356771,-0.0539700385693106,0.0100315022504046,-0.131739758079205,-0.0428186943299456,-1.61904761904762,0,TRUE
"3","2011_01_CAR_ARI",2011,1,"ARI","CAR","closed","grass",FALSE,7,18,0.484976880977944,-0.418314907516488,0.067995434559028,0.0310628948241679,0.0181267555971216,0.383946069074628,-0.173800257577282,-0.00510398105023065,0.388888888888889,0,TRUE
"4","2011_01_CIN_CLE",2011,1,"CLE","CIN","outdoors","grass",FALSE,-10,20.5,-0.284473595405642,-0.144897427775691,0.080242919025761,0.0388023217163253,-0.158842758281247,0.0447804739942956,0.00502559323940978,-0.0684424045619916,-0.48780487804878,0,TRUE
"5","2011_01_DAL_NYJ",2011,1,"NYJ","DAL","outdoors","fieldturf",FALSE,3,18.5,0.0282832132603537,-0.151745236482288,-0.0260422197548119,0.0151893245779934,-0.0888418224703118,0.31226706142967,0.0987669717503027,-0.0257151301487465,0.162162162162162,4.44089209850063e-16,TRUE
"6","2011_01_DET_TB",2011,1,"TB","DET","outdoors","grass",FALSE,-7,16.5,-0.0100165104111491,-0.507166501283756,0.227168732724915,-0.11636325265422,0.0610694491840673,-0.121449439257214,0.0599592397105005,-0.0174441422555676,-0.424242424242424,8.88178419700125e-16,TRUE
"7","2011_01_IND_HOU",2011,1,"HOU","IND","open","grass",FALSE,27,18,-0.0216254175130586,0.921497599550989,0.0717157125990424,0.00674558790504105,-0.0665619233235096,0.339961893482821,0.0294658059822998,0.218800741316375,1.5,0,TRUE
"8","2011_01_MIN_SD",2011,1,"LAC","MIN","outdoors","grass",FALSE,7,17.5,0.392149706341489,0.234821329104579,0.0488069828865784,-0.375528399838952,0.028879755881748,0.0431967137913619,0.0503550504357054,-0.0226811386025094,0.4,1.77635683940025e-15,TRUE
"9","2011_01_NE_MIA",2011,1,"MIA","NE","outdoors","grass",FALSE,-14,18,0.69466981045864,-1.39804472583265,-0.0792048112618634,-0.187470919766282,-0.0278521789231389,0.107844619733644,0.00609975559259484,0.106180672221275,-0.777777777777778,7.105427357601e-15,TRUE
"10","2011_01_NO_GB",2011,1,"GB","NO","outdoors","grass",FALSE,8,15.5,1.54898084209667,-0.823357344787053,0.492981961113122,-0.161315817280763,-0.440849864212968,-0.0486459341275716,0.00695254511156788,-0.0586173556549351,0.516129032258065,0,TRUE
"11","2011_01_NYG_WAS",2011,1,"WAS","NYG","outdoors","grass",FALSE,14,18,0.293509739355925,0.2434975079045,0.0202031406677432,0.0552344419476059,0.0996609466641934,0.0127591200548017,-0.162764199011774,0.215677080194783,0.777777777777778,1.77635683940025e-15,TRUE
"12","2011_01_OAK_DEN",2011,1,"DEN","LV","outdoors","grass",FALSE,-3,19,-0.17581845372191,0.165787762977121,0,0,-0.051042296372256,0.135884806807661,-0.0822461000721783,-0.150460456460543,-0.157894736842105,1.33226762955019e-15,TRUE
"13","2011_01_PHI_STL",2011,1,"LA","PHI","dome","astroplay",FALSE,-18,16,-0.368143087614524,-0.608894289089469,-0.0277159104880411,0.0643412549979985,-0.125797167376732,0.060040629512514,-0.100932738778866,-0.0178986911628805,-1.125,0,TRUE
"14","2011_01_PIT_BAL",2011,1,"BAL","PIT","outdoors","sportturf",FALSE,28,18.5,0.495099432773,1.06325554433139,0.0557393729435028,-0.130358758785233,0.0339302641364771,-0.0894285399919829,0.0862470490003173,-0.000970850893957677,1.51351351351351,3.5527136788005e-15,TRUE
"15","2011_01_SEA_SF",2011,1,"SF","SEA","outdoors","grass",FALSE,16,19,-0.268523807300158,0.402931274038734,0.307489814083355,0.00897971997772785,0.345385239018421,0.0454742691023943,0.037023405386714,-0.0366546511492942,0.842105263157895,0,TRUE
"16","2011_01_TEN_JAX",2011,1,"JAX","TEN","outdoors","grass",FALSE,2,16.5,0.116308612531951,-0.273923947639445,-0.00600790373529449,0,-0.0871762460693858,0.169074118722964,0.170007121101356,0.0329303662999765,0.121212121212121,4.44089209850063e-16,TRUE
"17","2011_02_ARI_WAS",2011,2,"WAS","ARI","outdoors","grass",FALSE,1,17,0.424644651578053,-0.321965925530151,0.0283269912059254,-0.148238633101916,0.0412859228467021,0.178007224715068,-0.140067159677526,-0.00316954262439124,0.0588235294117647,3.33066907387547e-16,TRUE
"18","2011_02_BAL_TEN",2011,2,"TEN","BAL","outdoors","grass",FALSE,13,18,0.455954742555801,0.520280180454903,0.0272098779678345,-0.146936449359701,0.0411159339257412,-0.0987601561032029,-0.0295576219353149,-0.0470842852838385,0.722222222222222,0,TRUE
"19","2011_02_CHI_NO",2011,2,"NO","CHI","dome","sportturf",FALSE,17,18.5,-0.0592740398623574,0.808282951176214,0.000193313745832121,-0.0248708999715745,0.0530358304370295,0.0853531082236283,0.104780312697732,-0.0485816575275845,0.918918918918919,3.5527136788005e-15,TRUE
